summoner_id,Unnamed: 0,summoner name,summoner_id,summonerid
146,20078731.0,TdollasAKATmoney,,20078731.0
147,41885666.0,AchiIIes Heal,,41885666.0
148,57019107.0,enaek,,57019107.0
149,22478427.0,Biofrost ,,22478427.0
150,75290273.0,Berta Lovejoy,,75290273.0
151,581716.0,dàwolfsclaw,,581716.0
152,36782900.0,Cavele,,36782900.0
153,30936371.0,Jayms,,30936371.0
154,21652056.0,Vìncent,,21652056.0
155,85269313.0,ArrowP1,,85269313.0
156,31113559.0,xxxwlxxxwlxxxwl,,31113559.0
157,83039481.0,Hobbler,,83039481.0
158,37832463.0,Eitori,,37832463.0
159,83339297.0,god tupo,,83339297.0
160,79681807.0,CHIEF KEITH,,79681807.0
161,36111109.0,Julien,,36111109.0
162,22696988.0,Juves,,22696988.0
163,170340.0,Deep Learning,,170340.0
164,22206078.0,CaillouX,,22206078.0
165,19967304.0,Shiphtur,,19967304.0
166,50877721.0,Doubtfull,,50877721.0
167,20202108.0,CLA Tuesday,,20202108.0
168,36400685.0,W0WFIXZ,,36400685.0
169,21836856.0,xFSN Rin,,21836856.0
170,24154639.0,yeedam,,24154639.0
171,25232745.0,Chàse,,25232745.0
172,38375098.0,Qissaruj,,38375098.0
173,20411671.0,Heisendong,,20411671.0
174,83089581.0,SupportMeIcarryU,,83089581.0
175,30266347.0,Piggy Kitten,,30266347.0
176,47706407.0,Liquid Pain,,47706407.0
177,22717034.0,N For New York,,22717034.0
178,84509505.0,WAR eThug,,84509505.0
179,71350203.0,TSB Ethiridis,,71350203.0
180,33689088.0,GL IM ZWAG,,33689088.0
181,23701242.0,Juuichi san ,,23701242.0
182,32225785.0,Autolycus1,,32225785.0
183,34022147.0,Tuesdayy,,34022147.0
184,23984272.0,Rich Homie Jayms,,23984272.0
185,84759118.0,Metaphor,,84759118.0
186,32178528.0,Weeknd,,32178528.0
187,68211391.0,kina,,68211391.0
188,35164431.0,FáteFálls,,35164431.0
189,58060767.0,Adrian Ma,,58060767.0
190,37294316.0,GiftedByGods,,37294316.0
191,19732914.0,Liquid Ezra,,19732914.0
192,40629656.0,DJNDREE5,,40629656.0
193,77729240.0,WorthyOfLohpally,,77729240.0
194,52895946.0,Szeto,,52895946.0
195,87139143.0,Paid By Steve,,87139143.0
196,22079480.0,Boyfriend,,22079480.0
197,68469257.0,Hopelesz,,68469257.0
198,55401833.0,HazardFP,,55401833.0
199,41233933.0,MistyStumpey,,41233933.0
200,156090.0,Yassuo,,156090.0
24368435,,SNiKerDoDIe,24368435.0,
27049826,,BaIance,27049826.0,
35317527,,Im Jonny,35317527.0,
66879182,,Vladfire1 BG ,66879182.0,
30266347,,Piggy Kitten,30266347.0,
28909573,,Firé,28909573.0,
28039649,,TwitchChunkylol,28039649.0,
22058902,,Flaresz,22058902.0,
51405,,C9 Sneaky,51405.0,
82779219,,RATIRLonNA,82779219.0,
77520973,,Témpest,77520973.0,
27758211,,Nedo,27758211.0,
34287847,,Liquid fabbbyyy,34287847.0,
80991870,,Machai,80991870.0,
36737412,,Lapbong,36737412.0,
30269809,,ilysuiteheart,30269809.0,
19822981,,paroL,19822981.0,
70359555,,its Mee,70359555.0,
20057366,,tukutzz,20057366.0,
45016424,,3rnii,45016424.0,
38030218,,BROWN DARK BOOT,38030218.0,
32025633,,áng,32025633.0,
23430632,,iisaMzor,23430632.0,
19281616,,myrome,19281616.0,
24525891,,Retribution12,24525891.0,
20977098,,kidouble,20977098.0,
20071900,,Cootersquirrel,20071900.0,
37162703,,Caique,37162703.0,
19003164,,Crimson808,19003164.0,
473286,,Quiggems X,473286.0,
50152652,,lnf3rno,50152652.0,
29191186,,RezinaId,29191186.0,
38954957,,Muay Thai IeeSin,38954957.0,
44439934,,GeoTheOG,44439934.0,
24819900,,2800warriorxD,24819900.0,
37974512,,Korea Mercy,37974512.0,
67460599,,1abosikay,67460599.0,
25852725,,Melorian,25852725.0,
51131437,,Rangwo da yiPao,51131437.0,
76130087,,Kantoweru,76130087.0,
20870975,,Benitoite,20870975.0,
19705918,,Xaanthaar,19705918.0,
26409084,,Çyrus,26409084.0,
20208347,,nblade,20208347.0,
39302671,,Burundi,39302671.0,
34519342,,Topeke,34519342.0,
63679655,,K05H3R101,63679655.0,
