,Unnamed: 0,player10champid,player10lane,player10role,player10summonerid,player10summonername,player1champid,player1lane,player1role,player1summonerid,player1summonername,player2champid,player2lane,player2role,player2summonerid,player2summonername,player3champid,player3lane,player3role,player3summonerid,player3summonername,player4champid,player4lane,player4role,player4summonerid,player4summonername,player5champid,player5lane,player5role,player5summonerid,player5summonername,player6champid,player6lane,player6role,player6summonerid,player6summonername,player7champid,player7lane,player7role,player7summonerid,player7summonername,player8champid,player8lane,player8role,player8summonerid,player8summonername,player9champid,player9lane,player9role,player9summonerid,player9summonername
2056230668,,42.0,BOTTOM,DUO_CARRY,2648.0,Pobelter,76.0,JUNGLE,NONE,72849271.0,sanspareil2016,81.0,BOTTOM,DUO_CARRY,51589239.0,Pretty Raheem,54.0,TOP,SOLO,21883744.0,Masterfiend LFT,112.0,MIDDLE,SOLO,44979338.0,TransIogic,40.0,BOTTOM,DUO_SUPPORT,47706407.0,Liquid Pain,41.0,MIDDLE,SOLO,581716.0,Wolfelol,64.0,JUNGLE,NONE,22507642.0,windking6,150.0,TOP,SOLO,24494578.0,Poppers OP,48.0,BOTTOM,DUO_SUPPORT,19199530.0,Xpecial
2056027117,,21.0,BOTTOM,DUO_CARRY,38924512.0,hi i am CURSED,107.0,TOP,SOLO,73119953.0,Flaxxish,81.0,BOTTOM,DUO_CARRY,2648.0,Pobelter,76.0,JUNGLE,NONE,22951043.0,NRG M0on,43.0,BOTTOM,DUO_SUPPORT,40661961.0,The Tank Man,91.0,MIDDLE,SOLO,44952557.0,Scrumm,117.0,TOP,SOLO,72849271.0,sanspareil2016,41.0,MIDDLE,SOLO,21903966.0,Pekin Woof,161.0,BOTTOM,DUO_SUPPORT,581716.0,Wolfelol,64.0,JUNGLE,NONE,32932398.0,Contractz
2055633452,,92.0,TOP,SOLO,2648.0,Pobelter,76.0,JUNGLE,NONE,22951043.0,NRG M0on,114.0,TOP,SOLO,73119953.0,Flaxxish,236.0,BOTTOM,DUO_CARRY,170340.0,Lil TM8,111.0,BOTTOM,DUO_SUPPORT,73169861.0,HustlinBonNA,238.0,MIDDLE,SOLO,34687275.0,Twitch Z Y XYDRA,131.0,MIDDLE,SOLO,43230548.0,lIIllIllIl,64.0,JUNGLE,NONE,69769708.0,She Limp,432.0,BOTTOM,DUO_SUPPORT,24560785.0,Pooky Wan Kenobi,81.0,BOTTOM,DUO_CARRY,23162732.0,JayJ
2054650177,,104.0,BOTTOM,DUO_CARRY,21367804.0,Bambie,38.0,MIDDLE,SOLO,65409090.0,GodPiglet,26.0,BOTTOM,DUO_SUPPORT,390600.0,C9 Meteos,15.0,BOTTOM,DUO_CARRY,44989300.0,C9 StealthBomber,75.0,TOP,SOLO,68441133.0,TedddyRO,60.0,JUNGLE,NONE,22046494.0,Hairyabs,238.0,MIDDLE,SOLO,2648.0,Pobelter,76.0,JUNGLE,NONE,69769708.0,She Limp,54.0,TOP,SOLO,28609701.0,Riesig,48.0,BOTTOM,DUO_SUPPORT,532825.0,Chorong
2078745822,,134.0,MIDDLE,SOLO,21498922.0,TR Linsanity,121.0,JUNGLE,NONE,47371195.0,Kurttttttttttttt,223.0,TOP,SOLO,20112175.0,Rohammers,81.0,BOTTOM,DUO_CARRY,26737937.0,Zzzzzzzzz Baby,412.0,BOTTOM,DUO_SUPPORT,25403638.0,Reservation,4.0,MIDDLE,SOLO,28609701.0,Riesig,76.0,JUNGLE,NONE,21747804.0,Yami,41.0,TOP,SOLO,24671130.0,Allorim,236.0,BOTTOM,DUO_CARRY,20074883.0,Junglar OnLee,40.0,BOTTOM,DUO_SUPPORT,30109995.0,Dylan Q Ta
2078722666,,103.0,MIDDLE,SOLO,21498922.0,TR Linsanity,203.0,JUNGLE,NONE,23715786.0,KitKatxz,54.0,MIDDLE,SOLO,20435125.0,Beasted,42.0,BOTTOM,DUO_CARRY,38966845.0,HOoZy2,2.0,TOP,SOLO,19770082.0,Cris,53.0,BOTTOM,DUO_SUPPORT,21334422.0,Zyphere,236.0,BOTTOM,DUO_CARRY,35570736.0,camtheham,412.0,BOTTOM,DUO_SUPPORT,19806051.0,TR Strife,41.0,JUNGLE,NONE,24671130.0,Allorim,64.0,JUNGLE,NONE,22138282.0,AWildMiMo
2078663920,,4.0,MIDDLE,SOLO,21498922.0,TR Linsanity,13.0,MIDDLE,SOLO,21125652.0,KRN Shockader,34.0,TOP,SOLO,43807141.0,iluvcurry69,412.0,BOTTOM,DUO_SUPPORT,40999945.0,Qq1035716423me,245.0,JUNGLE,NONE,23715786.0,KitKatxz,42.0,BOTTOM,DUO_CARRY,22922261.0,KRN 0kay,64.0,JUNGLE,NONE,22138282.0,AWildMiMo,236.0,BOTTOM,DUO_CARRY,35570736.0,camtheham,40.0,BOTTOM,DUO_SUPPORT,19806051.0,TR Strife,114.0,TOP,SOLO,20868998.0,LockDown Exec
2078608407,,41.0,TOP,SOLO,28039649.0,Chunkylol,36.0,JUNGLE,NONE,20868998.0,LockDown Exec,74.0,MIDDLE,SOLO,34761215.0,Ajido,24.0,TOP,SOLO,27794083.0,Gillette,111.0,BOTTOM,DUO_SUPPORT,73759302.0,Taikki,429.0,BOTTOM,DUO_CARRY,525607.0,Diamond,421.0,JUNGLE,NONE,37910602.0,twi tv trixondog,25.0,BOTTOM,DUO_SUPPORT,20082683.0,Quantum Fizzics,42.0,BOTTOM,DUO_CARRY,19806051.0,TR Strife,134.0,MIDDLE,SOLO,21498922.0,TR Linsanity
2078592445,,40.0,BOTTOM,DUO_SUPPORT,19806051.0,TR Strife,203.0,JUNGLE,NONE,390600.0,C9 Meteos,13.0,MIDDLE,SOLO,28039649.0,Chunkylol,25.0,BOTTOM,DUO_SUPPORT,442232.0,aphromoo,98.0,TOP,SOLO,40999945.0,Qq1035716423me,17.0,BOTTOM,DUO_CARRY,31014009.0,Stixxay,236.0,BOTTOM,DUO_CARRY,31588136.0,Zaganox,117.0,MIDDLE,SOLO,21498922.0,TR Linsanity,24.0,TOP,SOLO,27794083.0,Gillette,76.0,JUNGLE,NONE,37910602.0,twi tv trixondog
2078494759,,40.0,BOTTOM,DUO_SUPPORT,465551.0,lIlIlIIIIlIIIlII,432.0,BOTTOM,DUO_SUPPORT,27291302.0,Hanjaro,81.0,MIDDLE,SOLO,19984811.0,hacking machine,67.0,BOTTOM,DUO_CARRY,37548214.0,L0L Wal,203.0,JUNGLE,NONE,37832463.0,Eitori,12.0,TOP,SOLO,20058883.0,MooMooMoooo,236.0,BOTTOM,DUO_CARRY,19806051.0,TR Strife,421.0,MIDDLE,DUO_SUPPORT,21747804.0,Yami,4.0,MIDDLE,DUO_CARRY,21498922.0,TR Linsanity,27.0,TOP,SOLO,19470447.0,Minishcap1
